Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0603_1608Metric",121.370000,-92.580000,180.000000,bottom
"C2","22uF","C_0603_1608Metric",121.430000,-106.710000,180.000000,bottom
"C3","22uF","C_0603_1608Metric",102.670000,-127.040000,90.000000,bottom
"C4","22uF","C_0603_1608Metric",97.580000,-127.037500,90.000000,bottom
"C5","22uF","C_0603_1608Metric",81.325000,-106.070000,0.000000,bottom
"C6","22uF","C_0603_1608Metric",81.340000,-92.670000,0.000000,bottom
"D9","SS34","D_SOD-123F",118.130000,-99.700000,0.000000,bottom
"U2","PMW3901","PinSocket_1x07_P2.54mm_Vertical",92.370000,-77.120000,-90.000000,bottom
"U6","VL53L1X","PinSocket_1x07_P2.54mm_Vertical",107.400000,-122.060000,90.000000,bottom
